CustID,PartID,(No column name),natl_flag,oem_flag,annual_spend,quantity,retail_sales,cogs,posgp,comp_price,FRGSHPUSM649NCIS,TRUCKD11,VMTD11,HTRUCKSSAAR,WPU141106,actual_sales
CUST_13B712B98DD48D9D707000784BA555A2,PART_F846361051783347FEEA0BB027E5289C,1/23/2023,1,1,362261.39,7,140.84,61.649,54.761,0,1.154999971,116.8710022,272328.0938,0.515999973,245.1470032,116.41
CUST_13B712B98DD48D9D707000784BA555A2,PART_F846361051783347FEEA0BB027E5289C,2/2/2023,1,1,549570.2,3,60.36,26.421,26.019,18.80999947,1.167000055,116.8180008,270832.6563,0.519999981,245.5469971,52.44
CUST_13B712B98DD48D9D707000784BA555A2,PART_F846361051783347FEEA0BB027E5289C,2/6/2023,1,1,585624.62,7,140.84,61.649,54.761,18.86000061,1.164999962,116.4889984,270491.2188,0.515999973,245.548996,116.41
CUST_13B712B98DD48D9D707000784BA555A2,PART_F846361051783347FEEA0BB027E5289C,2/8/2023,1,1,642566.57,1,20.12,8.807,8.673,18.88999939,1.164000034,116.3249969,270320.5,0.513999999,245.5500031,17.48
CUST_13B712B98DD48D9D707000784BA555A2,PART_F846361051783347FEEA0BB027E5289C,2/17/2023,1,1,842273.18,10,207.2,88.07,81.63,19,1.159999967,115.5859985,269552.2813,0.504999995,245.5529938,169.7
CUST_13B712B98DD48D9D707000784BA555A2,PART_F846361051783347FEEA0BB027E5289C,3/7/2023,1,1,1095493.15,4,67.32,35.228,32.092,19.06999969,1.152999997,114.4840012,268970.4375,0.504000008,245.5930023,67.32
CUST_13B712B98DD48D9D707000784BA555A2,PART_F846361051783347FEEA0BB027E5289C,3/13/2023,1,1,1195309.86,6,100.98,52.842,46.938,19,1.151000023,114.3679962,269412.9063,0.514999986,245.6289978,99.78
CUST_13B712B98DD48D9D707000784BA555A2,PART_F846361051783347FEEA0BB027E5289C,3/14/2023,1,1,1225583.62,2,33.66,17.614,16.046,18.98999977,1.149999976,114.3479996,269486.6563,0.51700002,245.6349945,33.66
CUST_13B712B98DD48D9D707000784BA555A2,PART_F846361051783347FEEA0BB027E5289C,3/20/2023,1,1,1305433.38,6,100.98,52.842,46.938,18.93000031,1.148000002,114.2320023,269929.0938,0.528999984,245.6719971,99.78
CUST_13B712B98DD48D9D707000784BA555A2,PART_F846361051783347FEEA0BB027E5289C,3/24/2023,1,1,1394527.71,4,67.32,35.228,32.092,18.87999916,1.146999955,114.1549988,270224.0625,0.536000013,245.6959991,67.32
CUST_13B712B98DD48D9D707000784BA555A2,PART_F846361051783347FEEA0BB027E5289C,4/6/2023,1,1,1610134.79,9,151.47,79.263,68.157,19.06999969,1.148000002,113.9499969,270769.6563,0.549000025,245.7969971,147.42
CUST_13B712B98DD48D9D707000784BA555A2,PART_F846361051783347FEEA0BB027E5289C,4/17/2023,1,1,1750625.29,6,103.5,54.672,47.568,19.54999924,1.156000018,113.8399963,270672.125,0.546000004,245.9140015,102.24
CUST_13B712B98DD48D9D707000784BA555A2,PART_F846361051783347FEEA0BB027E5289C,4/25/2023,1,1,1899532.26,3,51.75,26.421,25.329,19.88999939,1.161999941,113.7600021,270601.1875,0.542999983,245.9989929,51.75
CUST_13B712B98DD48D9D707000784BA555A2,PART_F846361051783347FEEA0BB027E5289C,5/8/2023,1,1,2091051.86,6,103.5,52.842,49.398,20.07999992,1.161999941,113.8130035,270492.2188,0.540000021,246.2310028,102.24
CUST_13B712B98DD48D9D707000784BA555A2,PART_F846361051783347FEEA0BB027E5289C,5/16/2023,1,1,2221507.26,4,69,35.228,33.772,20.04999924,1.156999946,113.9420013,270428.4688,0.537999988,246.4219971,69
CUST_13B712B98DD48D9D707000784BA555A2,PART_F846361051783347FEEA0BB027E5289C,5/17/2023,1,1,2248280.91,6,103.5,52.842,50.658,20.04000092,1.156000018,113.9580002,270420.5313,0.537999988,246.4459991,103.5
CUST_13B712B98DD48D9D707000784BA555A2,PART_F846361051783347FEEA0BB027E5289C,5/18/2023,1,1,2258164.18,10,172.5,88.07,82.33,20.04000092,1.156000018,113.973999,270412.5625,0.537999988,246.4700012,170.4
CUST_13B712B98DD48D9D707000784BA555A2,PART_F846361051783347FEEA0BB027E5289C,5/22/2023,1,1,2311205.44,10,172.5,88.07,84.43,20.02000046,1.152999997,114.0390015,270380.6875,0.537,246.5659943,172.5
CUST_13B712B98DD48D9D707000784BA555A2,PART_F846361051783347FEEA0BB027E5289C,5/30/2023,1,1,2476688.18,4,69,35.228,33.772,19.98999977,1.148000002,114.1679993,270316.9375,0.535000026,246.7570038,69
CUST_13B712B98DD48D9D707000784BA555A2,PART_F846361051783347FEEA0BB027E5289C,6/5/2023,1,1,2566482.2,6,103.5,52.842,49.398,20.29000092,1.144000053,114.3199997,270375.9375,0.532000005,246.9210052,102.24
CUST_13B712B98DD48D9D707000784BA555A2,PART_F846361051783347FEEA0BB027E5289C,6/6/2023,1,1,2585055.83,8,138,70.456,67.544,20.35000038,1.143000007,114.3499985,270394.6563,0.531000018,246.9499969,138
CUST_13B712B98DD48D9D707000784BA555A2,PART_F846361051783347FEEA0BB027E5289C,6/7/2023,1,1,2610853.76,1,17.25,8.807,8.443,20.40999985,1.14199996,114.3799973,270413.4063,0.529999971,246.9790039,17.25
CUST_13B712B98DD48D9D707000784BA555A2,PART_F846361051783347FEEA0BB027E5289C,6/9/2023,1,1,2642770.79,3,51.75,26.421,25.329,20.53000069,1.139999986,114.4400024,270450.875,0.528999984,247.0370026,51.75
CUST_13B712B98DD48D9D707000784BA555A2,PART_F846361051783347FEEA0BB027E5289C,6/16/2023,1,1,2744518.87,6,103.5,52.842,49.398,20.95000076,1.13499999,114.6500015,270582,0.523000002,247.2400055,102.24
CUST_13B712B98DD48D9D707000784BA555A2,PART_F846361051783347FEEA0BB027E5289C,6/23/2023,1,1,2869915.81,2,34.5,17.614,16.886,21.37000084,1.128999949,114.8600006,270713.125,0.51700002,247.4420013,34.5
CUST_13B712B98DD48D9D707000784BA555A2,PART_F846361051783347FEEA0BB027E5289C,6/28/2023,1,1,2949329.62,6,103.5,52.842,50.658,21.67000008,1.125,115.0100021,270806.8125,0.513000011,247.5870056,103.5
CUST_13B712B98DD48D9D707000784BA555A2,PART_F846361051783347FEEA0BB027E5289C,7/5/2023,1,1,3029195.44,4,69,35.228,33.772,21.48999977,1.125,114.9580002,270912.8125,0.510999978,247.6750031,69
CUST_13B712B98DD48D9D707000784BA555A2,PART_F846361051783347FEEA0BB027E5289C,7/11/2023,1,1,3128399.42,3,51.75,26.421,25.329,21.12999916,1.128999949,114.7450027,270987.5313,0.512000024,247.677002,51.75
CUST_13B712B98DD48D9D707000784BA555A2,PART_F846361051783347FEEA0BB027E5289C,7/14/2023,1,1,3204297.03,7,132.37,61.649,61.901,20.95000076,1.131000042,114.6389999,271024.875,0.512000024,247.6779938,123.55
CUST_13B712B98DD48D9D707000784BA555A2,PART_F846361051783347FEEA0BB027E5289C,7/21/2023,1,1,3357033.68,10,189.1,88.07,82.33,20.53000069,1.136000037,114.3899994,271112.0313,0.513000011,247.6799927,170.4
CUST_13B712B98DD48D9D707000784BA555A2,PART_F846361051783347FEEA0BB027E5289C,7/31/2023,1,1,3549248.74,1,18.91,8.807,8.843,19.93000031,1.14199996,114.0350037,271236.5625,0.513999999,247.6840057,17.65
CUST_13B712B98DD48D9D707000784BA555A2,PART_F846361051783347FEEA0BB027E5289C,8/11/2023,1,1,3798621.34,2,37.82,17.614,17.686,19.98999977,1.149000049,114.0319977,270772.2188,0.512000024,247.8249969,35.3
CUST_13B712B98DD48D9D707000784BA555A2,PART_F846361051783347FEEA0BB027E5289C,8/17/2023,1,1,3888520.3,1,18.91,8.807,8.843,20.03000069,1.152999997,114.052002,270486.1563,0.50999999,247.9089966,17.65
CUST_13B712B98DD48D9D707000784BA555A2,PART_F846361051783347FEEA0BB027E5289C,8/25/2023,1,1,4046796.4,1,18.91,8.807,8.843,20.07999992,1.157999992,114.0770035,270104.75,0.509000003,248.0220032,17.65
CUST_13B712B98DD48D9D707000784BA555A2,PART_F846361051783347FEEA0BB027E5289C,8/31/2023,1,1,4157086.1,10,189.1,88.07,82.33,20.11000061,1.161999941,114.0970001,269818.6875,0.507000029,248.1060028,170.4
CUST_13B712B98DD48D9D707000784BA555A2,PART_F846361051783347FEEA0BB027E5289C,9/8/2023,1,1,4350937.97,1,18.91,8.807,8.443,20.29999924,1.149999976,114.1470032,269540.4688,0.497999996,248.1340027,17.25
CUST_13B712B98DD48D9D707000784BA555A2,PART_F846361051783347FEEA0BB027E5289C,10/2/2023,1,1,4848960.81,23,434.93,202.561,189.359,20.85000038,1.10800004,114.2809982,268843.4375,0.469000012,248.1809998,391.92
CUST_13B712B98DD48D9D707000784BA555A2,PART_F846361051783347FEEA0BB027E5289C,10/17/2023,1,1,5282613.58,3,56.73,26.421,25.329,20.94000053,1.100999951,113.9899979,269750.2188,0.472000003,248.2319946,51.75
CUST_13B712B98DD48D9D707000784BA555A2,PART_F846361051783347FEEA0BB027E5289C,10/24/2023,1,1,5455018.86,3,56.73,26.421,25.329,20.98999977,1.09800005,113.8550034,270173.375,0.47299999,248.2559967,51.75
CUST_13B712B98DD48D9D707000784BA555A2,PART_F846361051783347FEEA0BB027E5289C,10/30/2023,1,1,5613281.44,13,245.83,114.491,109.759,21.02000046,1.095000029,113.7389984,270536.0938,0.474000007,248.276001,224.25
CUST_13B712B98DD48D9D707000784BA555A2,PART_F846361051783347FEEA0BB027E5289C,11/1/2023,1,1,5723405.71,9,170.19,79.263,75.987,21.03000069,1.093999982,113.6999969,270657,0.474000007,248.2830048,155.25
CUST_13B712B98DD48D9D707000784BA555A2,PART_F846361051783347FEEA0BB027E5289C,11/3/2023,1,1,5769212.13,0,0,0,0,21.03000069,1.093000054,113.8529968,270644.5938,0.474999994,248.2920074,0
CUST_13B712B98DD48D9D707000784BA555A2,PART_F846361051783347FEEA0BB027E5289C,11/6/2023,1,1,5798786.74,12,226.92,105.684,98.796,21.02000046,1.090999961,114.0830002,270626,0.476000011,248.3049927,204.48
CUST_13B712B98DD48D9D707000784BA555A2,PART_F846361051783347FEEA0BB027E5289C,11/14/2023,1,1,5974109.2,22,416.02,193.754,184.696,21.01000023,1.087000012,114.6969986,270576.4063,0.479999989,248.3390045,378.45
CUST_13B712B98DD48D9D707000784BA555A2,PART_F846361051783347FEEA0BB027E5289C,11/15/2023,1,1,6010829.93,5,94.55,44.035,41.165,21.01000023,1.085999966,114.7730026,270570.1875,0.479999989,248.3439941,85.2
CUST_13B712B98DD48D9D707000784BA555A2,PART_F846361051783347FEEA0BB027E5289C,11/20/2023,1,1,6114768.85,5,94.55,44.035,41.165,21,1.082999945,115.1569977,270539.1875,0.481999993,248.3650055,85.2
CUST_13B712B98DD48D9D707000784BA555A2,PART_F846361051783347FEEA0BB027E5289C,11/24/2023,1,1,6193469.86,5,94.55,44.035,41.165,21,1.08099997,115.4629974,270514.4063,0.483999997,248.3829956,85.2
CUST_13B712B98DD48D9D707000784BA555A2,PART_F846361051783347FEEA0BB027E5289C,12/4/2023,1,1,6364434.45,8,151.28,70.456,67.544,21.26000023,1.072999954,115.5739975,270688.3438,0.488000005,248.5549927,138
CUST_13B712B98DD48D9D707000784BA555A2,PART_F846361051783347FEEA0BB027E5289C,12/12/2023,1,1,6604746.3,2,37.82,17.614,16.886,21.80999947,1.06400001,114.439003,271267.9688,0.488999993,248.9320068,34.5
CUST_13B712B98DD48D9D707000784BA555A2,PART_F846361051783347FEEA0BB027E5289C,12/14/2023,1,1,6653839.68,4,75.64,35.228,33.772,21.95000076,1.06099999,114.1549988,271412.875,0.49000001,249.0269928,69
CUST_13B712B98DD48D9D707000784BA555A2,PART_F846361051783347FEEA0BB027E5289C,12/15/2023,1,1,6672514.9,5,94.55,44.035,42.215,22.02000046,1.059999943,114.0130005,271485.3125,0.49000001,249.0740051,86.25
CUST_13B712B98DD48D9D707000784BA555A2,PART_F846361051783347FEEA0BB027E5289C,12/21/2023,1,1,6775999.5,18,340.38,158.526,149.874,22.43000031,1.052000046,113.1610031,271920.0313,0.490999997,249.3569946,308.4
CUST_13B712B98DD48D9D707000784BA555A2,PART_F846361051783347FEEA0BB027E5289C,12/29/2023,1,1,6904893.48,3,56.73,26.421,25.329,22.97999954,1.042999983,112.026001,272499.6563,0.492000014,249.7339935,51.75
CUST_13B712B98DD48D9D707000784BA555A2,PART_F846361051783347FEEA0BB027E5289C,1/12/2024,1,1,6984255.75,5,94.55,44.035,42.215,24.17000008,1.065999985,112.4520035,274435.125,0.493999988,249.8820038,86.25
CUST_13B712B98DD48D9D707000784BA555A2,PART_F846361051783347FEEA0BB027E5289C,1/18/2024,1,1,7029472.4,5,94.55,44.035,42.015,24.69000053,1.08099997,112.9160004,275372.2813,0.495000005,249.8860016,86.05
CUST_13B712B98DD48D9D707000784BA555A2,PART_F846361051783347FEEA0BB027E5289C,1/19/2024,1,1,7044315.85,5,94.55,44.035,42.015,24.78000069,1.082999945,112.9940033,275528.4688,0.495000005,249.8860016,86.05
CUST_13B712B98DD48D9D707000784BA555A2,PART_F846361051783347FEEA0BB027E5289C,2/2/2024,1,1,7176795.54,5,94.55,44.035,42.015,25.79999924,1.11500001,113.9690018,277416.875,0.495999992,249.8950043,86.05
CUST_13B712B98DD48D9D707000784BA555A2,PART_F846361051783347FEEA0BB027E5289C,2/6/2024,1,1,7220181.22,5,94.55,44.035,42.015,25.73999977,1.11500001,113.8450012,276848.3125,0.493999988,249.8999939,86.05
CUST_13B712B98DD48D9D707000784BA555A2,PART_F846361051783347FEEA0BB027E5289C,2/7/2024,1,1,7212334.93,5,75.75,44.035,42.015,25.72999954,1.11500001,113.814003,276706.1875,0.493000001,249.901001,86.05
CUST_13B712B98DD48D9D707000784BA555A2,PART_F846361051783347FEEA0BB027E5289C,2/8/2024,1,1,7215271.68,7,106.05,61.649,58.821,25.70999908,1.11500001,113.7829971,276564.0313,0.493000001,249.9019928,120.47
CUST_13B712B98DD48D9D707000784BA555A2,PART_F846361051783347FEEA0BB027E5289C,2/21/2024,1,1,7318511.27,12,181.8,105.684,100.836,25.53000069,1.113999963,113.3789978,274716.25,0.486000001,249.9170074,206.52
